SAMPLE,TN,TP,DOC,Chla,WT,Cond,pH,DO,Longitude,Latitude,AT,Pre,Elevation,Distance,Cropland,Impervious
BT,1.8606,0.539927206,4.728,0.4224,13.8,489.2,7.51,8.11,99.01,29.75,11,28.3,2741,0,49500,0
BT_24,2.4647,0.141512745,4.03,2.1468,9.7,511,4.87,8.4,99.01,29.75,10.6,69.3,2741,0,49500,0
BZL,1.80715,0.465959964,4.716,0.4244,16.3,540,7.61,7.65,99.3,28.24,13.5,48.1,2023,193898.2046,843300,0
BZL_23,2.3857,0.044010471,3.35,1.0816,12.1,464.1,5.8,7.82,99.3,28.24,12.7,140.6,2023,193898.2046,838800,0
TC,1.8759,0.780320742,5.86765,0.616,16.7,458.8,7.62,7.58,99.53,27.57,16.7,62.4,1973,282819.9688,698400,1800
TC_22,1.427,0.030561882,3.636,1.1348,11.6,419.5,5.37,7.93,99.53,27.57,14.4,150.3,1973,282819.9688,703800,1800
SG,0.832,0.282722933,4.56785,0.8076,18.2,405,8.1,7.21,99.96,26.87,16.7,88.9,1832,376355.5086,2021400,11700
SG_20,2.8161,0.18522066,3.352,1.0424,12.6,409.9,6.8,8.03,99.96,26.87,16.3,124.3,1832,376355.5086,2018700,11700
HTX,0.93965,0.165047776,5.0655,0.3832,17.7,570,8.02,7.41,100.09,27.18,16.2,77,1908,421959.4298,841500,0
HTX_21,2.3839,0.202031397,3.216,0.8488,12.9,426.8,7.06,7.67,100.09,27.18,15,107.6,1908,421959.4298,861300,0
AH,0.92855,0.222204281,5.2475,0.7272,18.8,339.6,8.42,8.37,100.44,27.6,17.6,65.9,1573,539247.9313,489600,0
AH_18,2.3483,0.223885355,3.429,3.3148,14.2,402.7,6.67,8.55,100.44,27.6,18.6,103.4,1573,539247.9313,507600,0
JAQ,2.12963,0.284404007,5.62,0.2348,18.6,323.8,8.1,7.87,100.43,26.8,18.6,83.6,1360,657019.8957,882000,4500
JAQ_19,2.3733,0.163366702,3.31,1.0404,12.2,404.9,7.22,7.76,100.43,26.8,19.6,108.5,1360,657019.8957,921600,4500
LKK,0.87865,0.082675166,5.352,0.3832,19.3,274.2,7.94,8.33,100.41,26.49,18.7,87.4,1336,696476.4907,2086200,5400
LKK_17,2.388,0.156642408,3.481,1.4236,12.1,403.8,6.83,8.75,100.41,26.49,20.5,99,1336,696476.4907,2082600,5400
GLP,0.7999,0.08435624,6.943,0.3472,22.6,684,8.02,9.44,101.53,26.6,24.1,92.5,1033,903602.5635,1887300,117000
GLP_9,3.5382,0.358371249,3.908,2.6234,17.4,421.7,7.65,8.69,101.53,26.6,24.9,38.8,1033,903602.5635,1899900,124200
WDD_5_22_Jan,0.507504,0.0153056,2.565,2.3,14.518,361.6,7.95,9.11,101.855,26.54138889,15.6,10.6,1059,956763.1803,2143800,493200
WDD_5_22_Mar,0.59825,0.01402808,2.2765,1.59,13.238,435.5,7.93,9.76,101.855,26.54138889,24.2,35.3,1059,956763.1803,2143800,493200
WDD_5_22_Jul,0.555546,0.12552396,2.3535,0.39,18.37,339.4,8.04,11.05,101.855,26.54138889,27.5,144.3,1059,956763.1803,2143800,493200
WDD_5_22_Dec,0.588955,0.0060144,2.899,0.89,17.19,459.9,9.12,8.17,101.855,26.54138889,14.5,7,1059,956763.1803,2143800,493200
WDD_5_23_Apr,0.526849,0.0306096,2.093333333,1.09,13.55,200.6,8.11,9.43,101.855,26.54138889,28,54.7,1059,956763.1803,2035800,505800
WDD_5_23_Jul,0.7183425,0.0142128,5.988,0.1966,21.1,608.5,8,9.11,101.855,26.54138889,26.7,184.8,1059,956763.1803,2035800,505800
WDD_4_22_Jan,0.62494,0.0109328,2.161,0.32,15.509,438.5,8.01,9.12,101.889303,25.965498,16.2,8.2,2437,1036969.834,586800,31500
WDD_4_22_Mar,0.614264,0.02137212,1.944,1.68,15.671,21.7,8.08,9.25,101.889303,25.965498,24.6,23,2437,1036969.834,586800,31500
WDD_4_22_Jul,0.854474,0.11417408,2.3805,0.75,18.858,390.4,8.06,11.41,101.889303,25.965498,27.8,121.7,2437,1036969.834,586800,31500
WDD_4_22_Dec,0.620008,0.011479999,2.691,2.7648,17.585,598.1,9.1,8.18,101.889303,25.965498,15.3,7.9,2437,1036969.834,586800,31500
WDD_4_23_Apr,0.6148325,0.0121632,2.164,1.1,14.721,333.9,8.23,9.63,101.889303,25.965498,28.2,44.2,2437,1036969.834,492300,33300
WDD_4_23_Jul,0.661412,0.0224112,6.8405,0.1008,21.3,616.01,8.05,8.63,101.889303,25.965498,27.2,197,2437,1036969.834,492300,33300
LJD,1.21565,0.109572345,5.8555,0.1576,21.7,477.7,7.58,9.096,101.88,25.96,25.7,103.1,958,1038050.731,1630800,244800
LJD_10,5.4908,1.449388065,3.2408,1.0404,13.2,292.5,7.75,8.17,101.88,25.96,25.7,22.7,958,1038050.731,1702800,245700
LCJ_22_Jan,0.512842,0.010204,1.7935,0.79,15.191,466.2,8.03,9.17,101.8752778,25.95027778,16.2,8,932,1044292.201,598500,48600
LCJ_22_Mar,0.51818,0.02337504,2.9005,1.86,14.436,426.8,8.06,9.77,101.8752778,25.95027778,24.7,22.5,932,1044292.201,598500,48600
LCJ_22_Jul,4.813490667,0.13754148,4.3485,12.28,23.013,512.3,7.87,9.13,101.8752778,25.95027778,27.9,127.1,932,1044292.201,598500,48600
LCJ_22_Dec,0.77182267,0.0306096,3.885,5.2432,19.793,573.4,10.41,8.43,101.8752778,25.95027778,15.4,8.1,932,1044292.201,598500,48600
LCJ_23_Apr,0.64071,0.0265104,1.839333333,0.86,15.748,350.4,8.28,9.49,101.8752778,25.95027778,28.4,45.1,932,1044292.201,463500,48600
LCJ_23_Jul,1.1323825,0.02856,4.221,1.3028,23.44,707.13,8.26,8.79,101.8752778,25.95027778,27.2,202.2,932,1044292.201,463500,48600
MGH_22_Jan,0.987924,0.0524744,2.711,1.47,10.853,370.7,8.13,11.61,102.1877778,25.61888889,8.8,22.8,1970,1060633.346,2272500,5400
MGH_22_Mar,1.633822,0.31046024,6.6175,1.69,21.1,376.639,8.0073,9.0263,102.1877778,25.61888889,16.7,44.3,1970,1060633.346,2272500,5400
MGH_22_Jul,3.016364,0.259278958,5.3395,2.575,20.462,333,7.57,7.27,102.1877778,25.61888889,21.5,127.6,1970,1060633.346,2272500,5400
MGH_22_Dec,0.868432,0.0572544,4.4545,1.1228,14.289,324.8,8.55,7.92,102.1877778,25.61888889,8.6,10.8,1970,1060633.346,2272500,5400
MGH_23_Apr,1.510194,0.1761312,3.653333333,2.97,17.826,416.6,7.72,6.63,102.1877778,25.61888889,20.6,63.8,1970,1060633.346,2210400,5400
MGH_23_Jul,2.441784,0.1658832,5.751,0.329333333,23.87,434.07,7.69,5.96,102.1877778,25.61888889,21,223.7,1970,1060633.346,2210400,5400
JPD,0.6376,0.067545503,4.8025,0.0824,25.6,485,9.34,7.99,102.37,26.29,22.1,107.9,1571,1110753.007,1289700,6300
JPD_11,3.4758,0.398717017,3.037,1.3688,13.2,303.9,7.88,8.57,102.37,26.29,23.3,30.2,1571,1110753.007,1342800,6300
SYH_22_Jan,0.54487,0.0087464,2.305,4.7,16.458,572.4,8.03,9.07,102.5841667,26.37055556,14.4,17.7,846,1147358.099,1044900,12600
SYH_22_Mar,1.073332,0.04674244,3.666,18.65,20.874,422.3,8.47,13.23,102.5841667,26.37055556,23.9,37.2,846,1147358.099,1044900,12600
SYH_22_Jul,1.681864,0.458235678,3.0365,43.6,26.926,347.5,8.46,11.87,102.5841667,26.37055556,26.7,90.5,846,1147358.099,1044900,12600
SYH_22_Dec,0.661412,0.0306096,3.205,8.8032,19.186,554.7,8.85,8.13,102.5841667,26.37055556,13.3,6.4,846,1147358.099,1044900,12600
SYH_23_Apr,0.526849,0.0634032,2.091666667,5.27,18.6,396.9,8.6,10.42,102.5841667,26.37055556,27.4,66.2,846,1147358.099,931500,12600
SYH_23_Jul,0.8425545,0.0244608,5.104,3.4606,24.54,765.93,8.22,8.68,102.5841667,26.37055556,25.9,202.4,846,1147358.099,931500,12600
WDD_3_22_Jan,0.640954,0.0189496,2.2995,2.117468,16.25,569.7,7.97,8.71,102.535675,26.228038,5.3,30.1,2437,1161482.077,1996200,0
WDD_3_22_Mar,0.779742,0.02337504,2.7755,3.02,17.284,461.1,8.33,10.75,102.535675,26.228038,13.2,69.7,2437,1161482.077,1996200,0
WDD_3_22_Jul,0.587574,0.07812152,1.687,0.7,20.636,444,8.01,12.03,102.535675,26.228038,18.7,99.4,2437,1161482.077,1996200,0
WDD_3_22_Dec,0.67866367,0.0162624,3.3785,5.339,19.193,556.3,9.52,8.26,102.535675,26.228038,5,5.7,2437,1161482.077,1996200,0
WDD_3_23_Apr,0.3560575,0.0347088,1.863,1.22,16.9,374.8,8.4,9.58,102.535675,26.228038,17.1,79.8,2437,1161482.077,1971900,0
WDD_3_23_Jul,0.7493955,0.018312,6.4875,0.2016,23.01,722.97,8.14,8.08,102.535675,26.228038,18,275.2,2437,1161482.077,1971900,0
WDD_1_22_Jan,0.603588,0.0116616,1.7,1.06,16.223,564.9,7.96,8.61,102.7538,26.28,14.3,26.3,821,1177647.705,463500,17100
WDD_1_22_Jul,0.38473,0.05074828,1.9235,0.84,19.432,129.5,8.03,11.72,102.7538,26.28,26.5,77.5,821,1177647.705,463500,17100
WDD_1_22_Dec,0.64071,0.02856,2.9675,1.0064,18.934,437.6,8.99,8.32,102.7538,26.28,13.5,5.7,821,1177647.705,463500,17100
WDD_1_23_Apr,0.485445,0.0552048,1.638666667,0.87,15.022,367.1,8.23,9.45,102.7538,26.28,26,69.5,821,1177647.705,427500,10800
WDD_1_23_Jul,0.7804485,0.0224112,4.2735,0.0792,24.224,708.95,8.1,8,102.7538,26.28,25.6,210.5,821,1177647.705,427500,10800
GLD,1.3495,0.247420386,7.391,0.0725,22.6,325.5,8.66,8.45,103.05,26.52,23.7,94,699,1226460.593,1567800,565200
GLD_12,3.632,0.36341447,3.511,2.601,15.8,313,8.32,9.05,103.05,26.52,25,34.4,699,1226460.593,1433700,565200
BHT_4_22_Jan,0.592912,0.0167632,2.6185,2.78,16.744,521.8,8,9.2,103.035,26.49805556,13.6,19.9,700,1229498.047,1622700,23400
BHT_4_22_Mar,0.817108,0.03005144,2.9755,3.29,18.727,513,8.23,9.73,103.035,26.49805556,24,45.4,700,1229498.047,1622700,23400
BHT_4_22_Jul,0.454124,0.04674244,2.174,1.12,20.975,484.4,8.04,11.97,103.035,26.49805556,27.5,100.7,700,1229498.047,1622700,23400
BHT_4_22_Dec,0.7390445,0.049056,3.196,5.339,21.905,489.7,8.48,8.28,103.035,26.49805556,12.8,6.3,700,1229498.047,1622700,23400
BHT_4_23_Apr,0.9253625,0.0306096,1.862666667,2.7,20.706,549.2,8.41,9.63,103.035,26.49805556,27.9,76.5,700,1229498.047,1368900,123300
BHT_4_23_Jul,0.795975,0.0142128,4.6625,0.1986,22.7,756.43,8.04,9.43,103.035,26.49805556,26.6,197.5,700,1229498.047,1368900,123300
BHT_3_22_Jan,0.539532,0.0145768,2.7845,2.17,16.847,519.7,7.97,9.08,103.0388889,26.56277778,13.5,19.1,696,1237182.856,1811700,81900
BHT_3_22_Mar,0.769066,0.02871616,2.9605,3.39,18.044,508.8,8.11,9.56,103.0388889,26.56277778,23.6,46.4,696,1237182.856,1811700,81900
BHT_3_22_Jul,0.390068,0.06009524,2.661,31.58,25.774,423.6,8.83,19.82,103.0388889,26.56277778,27.6,106.6,696,1237182.856,1811700,81900
BHT_3_22_Dec,0.7183425,0.0326592,3.407,4.5654,22.107,490.4,8.53,8.25,103.0388889,26.56277778,12.9,7.2,696,1237182.856,1811700,81900
BHT_3_23_Apr,0.878783,0.0306096,1.872333333,1.9,21.225,553.9,8.4,9.52,103.0388889,26.56277778,27.7,78.6,696,1237182.856,1696500,400500
BHT_3_23_Jul,0.8943095,0.0224112,5.845,4.259,23.27,791.92,8.3,10.4,103.0388889,26.56277778,26.7,201.2,696,1237182.856,1696500,400500
HSH_22_Jan,0.566222,0.0167632,2.1155,0.7,17.327,502.3,7.88,8.6,102.8447222,26.95444444,13.8,11.7,776,1292893.935,2531700,52200
HSH_22_Mar,0.667644,0.01803392,3.046,3.15,20.109,471.4,8.38,9.92,102.8447222,26.95444444,23.7,39.1,776,1292893.935,2531700,52200
HSH_22_Jul,0.379392,0.04073368,2.555,11.7875,25.814,313.4,8.61,14.54,102.8447222,26.95444444,27.8,141.8,776,1292893.935,2531700,52200
HSH_22_Dec,0.71489217,0.0326592,4.057,6.366,22.109,490.8,9.38,8.28,102.8447222,26.95444444,13.4,7.9,776,1292893.935,2531700,52200
HSH_23_Apr,0.878783,0.0265104,1.737333333,2.88,20.2,418.7,8.51,9.09,102.8447222,26.95444444,28.5,77.6,776,1292893.935,1415700,42300
HSH_23_Jul,0.8736075,0.0142128,4.7935,1.163,26.4,430.37,8.4,9.22,102.8447222,26.95444444,27,174.3,776,1292893.935,1415700,42300
BHT_2_22_Jan,0.646292,0.0276952,1.9135,0.81,17.012,530.5,7.88,8.67,102.89,26.98555556,12.5,11.4,636,1296351.232,1654200,0
BHT_2_22_Mar,0.737038,0.03005144,2.7825,0.72,15.829,514.3,7.95,8.65,102.89,26.98555556,22,41.9,636,1296351.232,1654200,0
BHT_2_22_Jul,0.17121,0.0260456,2.7365,6.6125,34.676,253.2,7.88,7.77,102.89,26.98555556,26.5,137.3,636,1296351.232,1654200,0
BHT_2_22_Dec,0.8529055,0.018312,3.797,2.6896,21.352,503.2,7.82,8.03,102.89,26.98555556,12.4,7.6,636,1296351.232,1654200,0
BHT_2_23_Apr,1.4118595,0.0203616,2.152333333,2.97,16.51,456.6,8.1,9.27,102.89,26.98555556,27,79.6,636,1296351.232,951300,0
BHT_2_23_Jul,0.7286935,0.0142128,4.5285,0.9624,25.27,557.28,8.32,9.93,102.89,26.98555556,25.7,180.4,636,1296351.232,951300,0
BHT_1_22_Jan,0.582236,0.0189496,2.2025,0.61,16.942,509.2,7.88,8.76,102.8847222,27.25277778,12.7,13,606,1331347.216,2175300,279900
BHT_1_22_Mar,0.742376,0.02671324,3.0565,0.63,15.158,496.7,8.03,9.19,102.8847222,27.25277778,21.8,53,606,1331347.216,2175300,279900
BHT_1_22_Jul,0.603588,0.02070448,2.152,0.98,20.399,165.7,7.92,11.43,102.8847222,27.25277778,27.1,158.4,606,1331347.216,2175300,279900
BHT_1_22_Dec,0.76837234,0.038808,3.4125,0.7942,20.732,484.9,10.56,7.97,102.8847222,27.25277778,12.6,7.3,606,1331347.216,2175300,279900
BHT_1_23_Apr,0.713167,0.0162624,1.840333333,0.43,15.533,323.7,8.09,9.42,102.8847222,27.25277778,26.3,81.8,606,1331347.216,2135700,281700
BHT_1_23_Jul,0.713167,0.0060144,4.6995,0.2944,23.54,695.55,8.78,8.75,102.8847222,27.25277778,26.4,197.2,606,1331347.216,2135700,281700
LTH_22_Jan,0.769066,0.017492,1.8265,0.99,16.802,482.4,7.97,9.02,103.4886111,27.97444444,10.2,24.5,593,1467808.453,2336400,54000
LTH_22_Mar,1.057318,0.03005144,2.5535,2.9,17.35,482.187,8.2843,9.5805,103.4886111,27.97444444,20.3,74.5,593,1467808.453,2336400,54000
LTH_22_Jul,1.000379333,0.03739548,1.716,10.75,26.684,512.1,8.35,13.81,103.4886111,27.97444444,27.5,132.9,593,1467808.453,2336400,54000
LTH_23_Apr,0.754571,0.0470064,1.792,3.76,21.907,523.4,8.33,9.4,103.4886111,27.97444444,24.8,102.3,593,1467808.453,2065500,99900
LTH_23_Jul,0.9978195,0.0101136,4.1695,1.4388,26.08,559.14,8.21,10.65,103.4886111,27.97444444,26.7,235,593,1467808.453,2065500,99900
XLD_4_22_Jan,0.603588,0.0196784,1.9165,0.79,16.778,483.7,7.94,9.01,103.5161111,27.97055556,10.8,25.6,462,1470137.658,1888200,144000
XLD_4_22_Mar,0.753052,0.032722,2.771,2.81,18.67,494.346,8.3427,9.5152,103.5161111,27.97055556,21,78,462,1470137.658,1888200,144000
XLD_4_22_Jul,0.795756,0.030055891,2.16,3.13,23.228,518.3,8.02,12.73,103.5161111,27.97055556,28.2,133.2,462,1470137.658,1888200,144000
XLD_4_22_Dec,0.7597465,0.0265104,3.457,1.8964,21.359,431.5,8.38,8.11,103.5161111,27.97055556,11.4,12.2,462,1470137.658,1888200,144000
XLD_4_23_Apr,1.0081705,0.0470064,1.917,2.29,20.995,522.2,8.36,9.57,103.5161111,27.97055556,25.6,104.5,462,1470137.658,1845900,174600
XLD_4_23_Jul,0.557902,0.0060144,4.012,0.3932,25.8,574.6,8.3,10.3,103.5161111,27.97055556,27.4,248.7,462,1470137.658,1845900,174600
XLD_1_22_Jan,0.614264,0.0145768,1.621,0.59,15.225,475.9,7.93,9.59,103.4,28.14,4.7,20.5,1138,1496319.546,1659600,0
XLD_1_22_Mar,0.779742,0.01336044,2.7895,0.91,15.313,464.7,7.97,9.39,103.4,28.14,15.2,64.6,1138,1496319.546,1659600,0
XLD_1_22_Jul,0.897178,0.0260456,1.492,1.11,20.981,428.3,8.09,12.37,103.4,28.14,23.9,126,1138,1496319.546,1659600,0
XLD_1_22_Dec,0.756411765,0.025739225,3.239055,0.3492,21.294,415.5,8.18,7.96,103.4,28.14,6,13.9,1138,1496319.546,1659600,0
XLD_1_23_Apr,0.5734285,0.0347088,1.906666667,0.6,17.616,521.5,8.29,9.21,103.4,28.14,20.9,94.6,1138,1496319.546,1625400,0
XLD_1_23_Jul,0.6872895,0.0265104,4.8725,0.2142,22.7,585.3,7.95,8.63,103.4,28.14,23,185,1138,1496319.546,1625400,0
XLD_3_22_Jan,0.614264,0.0153056,1.4395,0,16.998,461.3,7.91,9.07,103.4933333,28.14361111,8.2,28.5,452,1501645.399,998100,4500
XLD_3_22_Mar,0.854474,0.02070448,2.6985,3.72,16.266,510,8.11,9.79,103.4933333,28.14361111,18.9,79.1,452,1501645.399,998100,4500
XLD_3_22_Jul,0.83846,0.03672784,2.3035,22.47,24.369,502.4,8.36,14.64,103.4933333,28.14361111,27.6,140.4,452,1501645.399,998100,4500
XLD_3_22_Dec,0.8736075,0.0265104,3.8525,1.335,21.39,420.9,8.42,8.06,103.4933333,28.14361111,9.5,14.5,452,1501645.399,998100,4500
XLD_3_23_Apr,0.837379,0.0306096,2.306666667,1.64,17.872,518.9,8.37,9.85,103.4933333,28.14361111,24,105.3,452,1501645.399,1191600,4500
XLD_3_23_Jul,0.754571,0.0060144,3.7745,0.3932,24.6,566.36,8.26,9.61,103.4933333,28.14361111,26.7,252.3,452,1501645.399,1191600,4500
L3_S_1,1.3762216,0.058435203,0.955834,1.5554,15.222,482.4,8.29,8.97,103.5035056,28.14546944,9.6,8.3,508,1506695.199,1582200,13500
L3_S_3,0.7701744,0.0618448,2.0097,9.6314,12.643,417.9,8.36,9.62,103.5035056,28.14546944,19.8,53.6,508,1506695.199,1582200,13500
L3_S_5,2.019809,0.033392,3.874,4.8688,12.872,412.5,8.1,9.22,103.5035056,28.14546944,24.1,181.2,508,1506695.199,1582200,13500
L3_S_7,1.283157895,0.063794,3.9495,1.2387,22.128,470.9,8.07,8.34,103.5035056,28.14546944,26.4,199.1,508,1506695.199,1582200,13500
L3_S_9,2.297959184,0.090818,2.579,0.7558,22.24,414,8.26,8.88,103.5035056,28.14546944,17,64.6,508,1506695.199,1582200,13500
L3_S_11,2.971428571,0.068861,1.666,0.2688,18.698,451.8,8.21,9.06,103.5035056,28.14546944,9.4,19.2,508,1506695.199,1582200,13500
May_1,1.761471808,0.06162695,1.5675,1.8346,20.365,436.4,8.06,9.13,103.5035056,28.14546944,24.3,186.2,508,1506695.199,1536300,13500
July_1,1.746232,0.0934016,1.2735,3.4004,24.322,446.8,8.53,8.67,103.5035056,28.14546944,27.9,186.2,508,1506695.199,1536300,13500
Nov_1,1.679416,0.037,0.8665,0.9446,17.836,444.1,8.06,8.93,103.5035056,28.14546944,8.4,16.7,508,1506695.199,1536300,13500
L2_S_1,1.433672,0.054656904,2.01725548,1.8582,15.409,485.6,8.29,8.98,103.5648583,28.21458056,9.6,8.2,789,1509066.857,1072800,5400
L2_S_3,0.8444352,0.0402256,1.2762,10.0002,12.548,416.4,8.4,9.57,103.5648583,28.21458056,20,54.7,789,1509066.857,1072800,5400
L2_S_5,1.734517,0.041837,2.941,5.5662,17.38,371.7,8.22,8.65,103.5648583,28.21458056,24.7,184.6,789,1509066.857,1072800,5400
L2_S_7,1.188421053,0.068861,3.793,1.0471,22.47,489.1,8.09,8.24,103.5648583,28.21458056,27,200.1,789,1509066.857,1072800,5400
L2_S_9,2.593877551,0.10433,2.56,0.7528,22.271,400.5,8.27,8.84,103.5648583,28.21458056,17.2,63.1,789,1509066.857,1072800,5400
L2_S_11,3.114285714,0.153311,1.527,0.1194,18.718,436.4,8.17,8.96,103.5648583,28.21458056,9.7,19.6,789,1509066.857,1072800,5400
XLD_2_z_Jan,0.368728,0.0182208,2.212,0.36,17.048,463.1,7.88,9.04,103.6152778,28.25277778,7.1,38.4,400,1523284.254,1656000,226800
XLD_2_z_Mar,0.591144667,0.017588827,1.8895,6.54,15.912,505.7,8.11,10.12,103.6152778,28.25277778,18.2,93.5,400,1523284.254,1656000,226800
XLD_2_z_Jul,0.806432,0.03539256,1.733,9.02,24.665,498.4,8.37,15.51,103.6152778,28.25277778,27.3,115.8,400,1523284.254,1656000,226800
XLD_2_z_Nov,0.806326,0.029243201,3.7555,1.2186,21.317,418,8.03,8.29,103.6152778,28.25277778,8.3,12.1,400,1523284.254,1656000,226800
XLD_2_23_Apr,0.754571,0.0306096,2.148333333,1.87,19.611,519.4,8.39,9.91,103.6152778,28.25277778,23.5,108.6,400,1523284.254,1764000,231300
XLD_2_23_Jul,0.5941305,0.0060144,5.2215,0.2758,24.09,567.91,8.2,9.48,103.6152778,28.25277778,26.3,285.5,400,1523284.254,1764000,231300
L1_S_1,1.1956632,0.050119039,3.005872,2.3444,15.413,489.6,8.33,8.7,103.6182278,28.24634167,9.8,7.5,672,1523622.179,1564200,241200
L1_S_3,0.6752856,0.0375232,4.0642,10.8778,14.114,413.3,8.52,9.69,103.6182278,28.24634167,20.3,54.9,672,1523622.179,1564200,241200
L1_S_5,2.060565,0.038459,3.723333333,5.5456,16.38,375,8.18,8.79,103.6182278,28.24634167,25,186.5,672,1523622.179,1564200,241200
L1_S_7,0.925263158,0.075617,4.1705,3.2289,22.313,487.4,8.05,8.22,103.6182278,28.24634167,27,197.7,672,1523622.179,1564200,241200
L1_S_9,2.706122449,0.111086,2.5545,0.0266,22.188,381.1,8.2,8.86,103.6182278,28.24634167,17.4,60.9,672,1523622.179,1564200,241200
L1_S_11,3.665306122,0.112775,1.572,0.2554,18.737,434.3,8.18,9.01,103.6182278,28.24634167,9.5,19.1,672,1523622.179,1564200,241200
May_2,1.657134016,0.05,1.774,2.3558,20.433,435.1,8.06,9.28,103.6182278,28.24634167,24.1,169.1,672,1523622.179,1556100,250200
July_2,1.722015808,0.07500575,1.261,2.1004,23.236,461.7,8.21,8.48,103.6182278,28.24634167,26.9,177.5,672,1523622.179,1556100,250200
Nov_2,1.62186784,0.0398864,0.448,1.1166,17.936,441.6,8.04,8.89,103.6182278,28.24634167,8.6,13,672,1523622.179,1556100,250200
YZY,0.764,0.56010009,6.2895,4.129,23.7,429.2,8.17,8.86,103.64,28.26,21,161.8,972,1529439.677,1963800,438300
YZY_13,3.6529,0.139831671,3.827,5.792666667,15.5,334.6,7.64,10.29,103.64,28.26,18,73.1,972,1529439.677,1931400,438300
May_3,1.688632,0.05,1.2315,1.1568,24.451,435.5,8.04,8.58,103.6779667,28.23868056,24.8,185.8,715,1530441.335,2716200,446400
July_3,1.713976,0.1,1.4005,1.1022,27.037,466.8,8.05,7.94,103.6779667,28.23868056,28.1,183.2,715,1530441.335,2716200,446400
Nov_3,1.571128,0.035,0.642,0.8292,17.029,443.1,8.02,9.07,103.6779667,28.23868056,9.1,15.9,715,1530441.335,2716200,446400
B10_1,1.734517,0.041837,2.941,5.5662,17.38,371.7,8.22,8.65,103.6955528,28.22633333,9.3,6.3,718,1536577.174,2422800,92700
B10_3,0.5515176,0.0469816,1.3312,6.7296,13.91,423.3,8.51,9.85,103.6955528,28.22633333,19.9,69.4,718,1536577.174,2422800,92700
B10_5,1.928108,0.040148,3.559333333,1.5096,20.459,373.7,8.22,8.96,103.6955528,28.22633333,25.2,170.4,718,1536577.174,2422800,92700
B10_7,1.198947368,0.084062,3.9595,0.4857,22.378,474.9,8.08,8.97,103.6955528,28.22633333,28,199.1,718,1536577.174,2422800,92700
